,Student,Occupation,Volunteering,Hour_Study,Hour_Sleep,Meal,Snack,Exercise,Exercise_Time,Laugh,Mood_Swing,Mood,Friends,Hobby,Family,Previous_Relationship,Sleep_Early,Sleep_Late,Sleep_onTime,Woke_Early,Woke_Late,Woke_onTime,SP_None,SP_Interrupted,SP_Decline,SP_Tired,SP_Nap,Bad,Good,Average,Really Bad,Really Good,Veggies,Fruit,Water,Fried,Oil,Fast,Alcohol,Caffe,Vitamin,Sugar,Drug,F_None,F_Decline,Healthy,F_Average,Really Healthy,Unhealthy,Sweat,Sore,E_None,E_Decline,Dry_skin,Dry_mouth,Dry_eyes,Acne,Muscle,Headache,T_None,T_Decline,Energized,Confident,Thankful,Relaxed,Excited,Productive,Focused,Peaceful,Happy,Hopeful,Positive,Pos_None,Pos_Decline,Pos_Total,Negative,Hopeless,Frustrated,Anxious,Scared,Tired,Stressed,Distracted,Upset,Angry,Jealous,Lonely,Hungry,Neg_None,Neg_Decline,Neg_Total,Talk_10,Talk_More,Talk_2F,Talk_None,Talk_Decline,R_Decline,R_Complicated,No,Yes
54,1,0,1,15,7,2,1,0,0,0,1,3,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,11,1,0,0,0,0,0,1,0,0
55,1,1,0,35,6,3,1,1,90,0,0,3,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,6,0,0,0,0,1,0,0,1,0
56,1,0,0,35,6,1,0,1,60,1,0,7,10,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,1,0
57,1,0,1,35,6,2,1,1,60,1,0,8,3,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,6,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,0
58,1,0,0,35,6,2,0,0,0,1,1,3,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,9,1,1,0,0,0,0,0,1,0
59,1,1,1,15,6,3,2,0,0,1,0,6,20,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,8,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,6,1,1,1,0,0,0,0,1,0
60,1,0,0,55,6,2,4,1,30,1,0,8,4,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,1,0
61,1,1,1,45,6,2,1,1,30,1,1,3,4,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,1,0
62,1,1,1,35,9,3,0,0,0,1,0,8,2,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
63,1,0,0,65,6,1,1,1,75,1,0,7,10,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1
64,1,1,0,45,8,3,0,1,45,0,1,6,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,1,0
65,1,1,0,65,6,3,1,0,15,1,1,6,20,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,5,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,1
66,1,0,1,25,7,2,2,0,30,1,1,6,5,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,4,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,5,1,0,1,0,0,0,0,1,0
67,1,0,0,35,6,1,0,0,0,1,1,8,3,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,9,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,1
68,1,0,0,85,7,2,0,1,30,1,0,5,4,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,6,1,1,1,0,0,0,0,1,0
69,1,0,1,15,8,1,0,0,0,1,0,8,2,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1
70,1,0,0,35,7,2,0,0,90,1,1,6,4,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,9,1,0,0,0,0,0,0,1,0
71,1,0,1,65,6,2,1,1,30,1,1,4,2,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,9,0,0,0,0,1,0,0,1,0
72,1,0,0,45,6,3,1,0,0,1,1,8,2,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1
73,1,0,1,45,7,2,1,1,30,1,0,4,3,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,1
74,1,0,1,35,5,2,2,1,30,1,0,7,10,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,9,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,8,1,1,1,0,0,0,0,1,0
75,0,0,0,0,9,2,0,0,0,1,0,8,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
76,0,1,1,5,6,2,0,1,60,1,0,7,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,1,0
77,1,1,1,85,5,0,1,1,30,1,0,8,3,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
78,1,0,1,45,8,2,0,1,60,1,0,3,10,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,5,1,1,1,0,0,0,1,0,0
79,1,0,1,25,5,2,1,0,60,0,1,5,10,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
80,1,0,1,75,7,1,1,0,0,0,0,6,10,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,1,0
81,1,1,0,25,7,3,1,1,120,1,0,8,10,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
82,0,0,1,45,6,2,0,1,30,1,0,8,10,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
83,0,1,0,35,7,3,1,1,30,1,0,8,10,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,1,0,0,0,0,1,0
84,1,0,0,25,7,1,1,1,75,1,1,7,5,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
85,1,0,0,25,7,1,1,1,75,1,1,7,5,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
86,1,0,0,65,6,3,0,0,0,1,1,6,5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1
87,1,0,0,45,8,2,1,1,45,1,1,7,4,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,9,1,1,1,0,0,0,0,0,1
88,1,1,0,45,5,2,2,0,15,1,1,8,2,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1
89,1,0,1,15,5,2,1,0,60,1,1,6,5,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,5,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,7,1,0,0,0,0,0,0,1,0
90,1,1,1,45,6,3,6,0,60,1,1,8,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,1,0,0
91,1,0,1,35,8,2,1,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,9,0,0,0,0,1,0,0,0,1
92,0,1,0,35,6,3,1,0,30,1,0,7,4,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
